104.69,100.0,initialising, beneficiaries, rebuffs, tablespoons, gear, lyrics, finalist
105.03,100.0,initialising, beneficiaries, rebuffs, tablespoons, gear, lyrics, published
105.1,100.0,initialising, vegetating, rebuffs, tablespoons, gear, lyrics, published
